Posterior summaries (median, 68% CI)
Chain: C:\Users\macke\Clusters\Ocen_IMBH_analysis\mock_cluster\results\0.1Acc_16r_192c\chain.fits
Epoch: 55197.0 MJD
Stars: A, C, D, E, F

Param                     Median  [     16%,      84%]
M_IMBH [10⁴ M☉]            9.996  [   9.990,    9.999]
plx [mas]                  0.242  [   0.239,    0.245]
offsetx [mas]            -16.778  [ -22.138,  -10.959]
offsety [mas]             60.425  [  54.147,   66.464]
A: a [AU]               1608.843  [1582.548, 1636.291]
A: e                       0.605  [   0.588,    0.621]
A: i [°]                 124.834  [ 124.075,  125.625]
A: ω [°]                  90.430  [ -94.573,   92.936]
A: Ω [°]                 -93.276  [ -95.857,  147.225]
C: a [AU]              19781.105  [15403.408, 27955.860]
C: e                       0.846  [   0.806,    0.905]
C: i [°]                  78.561  [  78.114,   78.945]
C: ω [°]                -159.676  [-162.287, -156.797]
C: Ω [°]                  49.594  [  48.756,   50.323]
D: a [AU]             165116.604  [110891.940, 247175.769]
D: e                       0.979  [   0.970,    0.986]
D: i [°]                  85.880  [  85.590,   86.179]
D: ω [°]                 163.094  [ 161.677,  164.524]
D: Ω [°]                 -53.282  [ -53.836,  -52.706]
E: a [AU]             159161.329  [148228.178, 166402.477]
E: e                       0.990  [   0.989,    0.990]
E: i [°]                  81.702  [  81.394,   82.001]
E: ω [°]                -155.958  [-157.027, -154.931]
E: Ω [°]                 131.279  [ 130.477,  132.049]
F: a [AU]             525061.008  [384191.212, 672729.033]
F: e                       0.983  [   0.977,    0.987]
F: i [°]                  69.472  [  68.820,   70.107]
F: ω [°]                 173.673  [-176.780,  176.149]
F: Ω [°]                 149.294  [ 148.178,  152.241]
A: r_peri [AU]           635.146  [ 603.465,  670.540]
A: r_apo  [AU]          2580.997  [2546.644, 2617.021]
A: v_peri [km/s]         473.388  [ 458.313,  487.900]
A: v_apo  [km/s]         116.369  [ 113.947,  119.192]
A: P      [yr]           204.125  [ 199.139,  209.369]
C: r_peri [AU]          3028.475  [2915.604, 3133.523]
C: r_apo  [AU]         36514.775  [27820.767, 54605.206]
C: v_peri [km/s]         232.389  [ 228.809,  236.394]
C: v_apo  [km/s]          19.336  [  11.647,   24.859]
C: P      [yr]          8799.518  [6046.601, 14785.160]
D: r_peri [AU]          3387.386  [3300.007, 3474.752]
D: r_apo  [AU]        326872.934  [218403.754, 490947.182]
D: v_peri [km/s]         227.540  [ 224.635,  230.563]
D: v_apo  [km/s]           2.359  [   1.573,    3.519]
D: P      [yr]        212227.147  [116804.295, 388715.431]
E: r_peri [AU]          1677.568  [1639.303, 1717.864]
E: r_apo  [AU]        316650.671  [294797.241, 331113.759]
E: v_peri [km/s]         324.254  [ 320.423,  328.035]
E: v_apo  [km/s]           1.713  [   1.650,    1.839]
E: P      [yr]        200858.071  [180522.072, 214719.789]
F: r_peri [AU]          8699.299  [8595.691, 8804.743]
F: r_apo  [AU]        1041430.011  [759677.976, 1336662.384]
F: v_peri [km/s]         142.125  [ 141.240,  143.008]
F: v_apo  [km/s]           1.188  [   0.928,    1.625]
F: P      [yr]        1203541.189  [753177.657, 1745348.057]
r_tidal MS  [AU]           0.216  [   0.216,    0.216]
r_tidal RG  [AU]           6.975  [   6.973,    6.975]
r_Schw      [AU]           0.002  [   0.002,    0.002]
