Posterior summaries (median, 68% CI)
Chain: C:\Users\macke\Clusters\Ocen_IMBH_analysis\mock_cluster\results\AccDiff-40M_sun_16r_192c\chain.fits
Epoch: 55197.0 MJD
Stars: A, C, D, E, F

Param                     Median  [     16%,      84%]
M_IMBH [10⁴ M☉]            9.988  [   9.970,    9.997]
plx [mas]                  0.231  [   0.227,    0.234]
offsetx [mas]           -367.578  [-369.617, -366.244]
offsety [mas]            265.597  [ 263.187,  266.649]
A: a [AU]               5287.804  [3662.411, 8784.262]
A: e                       0.947  [   0.919,    0.966]
A: i [°]                 117.152  [ 115.721,  118.231]
A: ω [°]                 -94.274  [-104.899,  -83.313]
A: Ω [°]                -153.482  [-169.720, -136.509]
C: a [AU]              11230.940  [8731.023, 14691.235]
C: e                       0.788  [   0.721,    0.849]
C: i [°]                  75.303  [  74.251,   76.191]
C: ω [°]                -136.022  [-140.872,  127.227]
C: Ω [°]                   3.731  [ -19.658,    6.507]
D: a [AU]             255309.158  [176710.474, 342797.553]
D: e                       0.985  [   0.977,    0.988]
D: i [°]                  86.141  [  85.701,   86.565]
D: ω [°]                -147.189  [-152.843, -139.913]
D: Ω [°]                 -50.595  [ -51.002,  -50.078]
E: a [AU]               1101.283  [ 661.298, 1675.627]
E: e                       0.988  [   0.987,    0.989]
E: i [°]                  90.265  [  89.900,   90.815]
E: ω [°]                -100.077  [-101.994,  -97.782]
E: Ω [°]                 163.054  [ 159.424,  167.003]
F: a [AU]             656197.104  [555283.730, 707895.162]
F: e                       0.988  [   0.986,    0.989]
F: i [°]                  78.418  [  77.814,   79.016]
F: ω [°]                 173.621  [ 169.862,  175.700]
F: Ω [°]                 156.502  [ 156.033,  157.150]
A: r_peri [AU]           286.572  [ 265.788,  317.832]
A: r_apo  [AU]         10299.592  [7029.359, 17273.885]
A: v_peri [km/s]         775.943  [ 733.329,  805.697]
A: v_apo  [km/s]          21.436  [  13.278,   31.864]
A: P      [yr]          1217.052  [ 701.421, 2605.417]
C: r_peri [AU]          2463.206  [2063.521, 2651.252]
C: r_apo  [AU]         20057.589  [15110.138, 27163.496]
C: v_peri [km/s]         253.574  [ 241.061,  280.141]
C: v_apo  [km/s]          30.712  [  22.233,   40.188]
C: P      [yr]          3767.348  [2582.199, 5635.804]
D: r_peri [AU]          4078.227  [3731.807, 4304.743]
D: r_apo  [AU]        506596.300  [349602.428, 681560.818]
D: v_peri [km/s]         207.515  [ 202.002,  216.855]
D: v_apo  [km/s]           1.649  [   1.239,    2.407]
D: P      [yr]        408313.050  [235081.484, 635344.467]
E: r_peri [AU]            13.137  [   7.841,   19.263]
E: r_apo  [AU]          2189.348  [1314.910, 3332.703]
E: v_peri [km/s]        3661.142  [3023.880, 4739.227]
E: v_apo  [km/s]          22.091  [  17.244,   28.540]
E: P      [yr]           115.666  [  53.843,  217.110]
F: r_peri [AU]          7653.471  [7549.153, 7764.730]
F: r_apo  [AU]        1304695.946  [1102907.965, 1408131.866]
F: v_peri [km/s]         151.672  [ 150.555,  152.720]
F: v_apo  [km/s]           0.893  [   0.824,    1.053]
F: P      [yr]        1682317.588  [1309453.984, 1884890.021]
r_tidal MS  [AU]           0.216  [   0.216,    0.216]
r_tidal RG  [AU]           6.973  [   6.969,    6.975]
r_Schw      [AU]           0.002  [   0.002,    0.002]
