Posterior summaries (median, 68% CI)
Chain: C:\Users\macke\Clusters\Ocen_IMBH_analysis\mock_cluster\results\Acc_16r_192c\chain.fits
Epoch: 55197.0 MJD
Stars: A, C, D, E, F

Param                     Median  [     16%,      84%]
M_IMBH [10⁴ M☉]            9.988  [   9.967,    9.997]
plx [mas]                  0.236  [   0.233,    0.239]
offsetx [mas]           -362.779  [-364.542, -359.883]
offsety [mas]            266.935  [ 265.435,  267.889]
A: a [AU]              14773.720  [2539.334, 34543.154]
A: e                       0.642  [   0.298,    0.829]
A: i [°]                 100.567  [  99.268,  110.159]
A: ω [°]                -154.097  [-160.603,   22.500]
A: Ω [°]                 -73.601  [ -81.363,  -72.496]
C: a [AU]               8480.510  [6414.434, 12000.664]
C: e                       0.695  [   0.593,    0.777]
C: i [°]                  67.687  [  66.299,   68.637]
C: ω [°]                -143.272  [-147.170, -137.242]
C: Ω [°]                  16.672  [  12.295,   19.787]
D: a [AU]              18325.787  [13897.468, 23971.480]
D: e                       0.846  [   0.767,    0.895]
D: i [°]                  84.679  [  84.070,   85.343]
D: ω [°]                -111.505  [-123.305, -107.119]
D: Ω [°]                 -49.478  [ -50.665,  -48.768]
E: a [AU]                827.336  [ 467.225, 1469.081]
E: e                       0.984  [   0.982,    0.987]
E: i [°]                  89.083  [  88.401,   89.550]
E: ω [°]                 102.101  [-101.931,  104.942]
E: Ω [°]                 -14.100  [ -17.438,  151.928]
F: a [AU]             590207.224  [439277.121, 695848.130]
F: e                       0.987  [   0.983,    0.989]
F: i [°]                  70.303  [  69.656,   70.940]
F: ω [°]                 172.171  [ 170.259,  173.982]
F: Ω [°]                 156.012  [ 155.253,  156.732]
A: r_peri [AU]          5272.804  [2016.847, 5957.428]
A: r_apo  [AU]         24231.347  [3075.956, 63125.398]
A: v_peri [km/s]         166.516  [ 163.083,  230.073]
A: v_apo  [km/s]          36.161  [  15.525,  145.947]
A: P      [yr]          5683.630  [ 404.958, 20316.231]
C: r_peri [AU]          2712.490  [2587.372, 2794.804]
C: r_apo  [AU]         14422.180  [10314.863, 21256.724]
C: v_peri [km/s]         235.731  [ 228.038,  242.467]
C: v_apo  [km/s]          43.107  [  30.741,   58.479]
C: P      [yr]          2472.138  [1625.944, 4160.901]
D: r_peri [AU]          2752.998  [2423.167, 3529.049]
D: r_apo  [AU]         33715.315  [24775.630, 45340.030]
D: v_peri [km/s]         243.526  [ 210.305,  262.538]
D: v_apo  [km/s]          19.812  [  14.326,   28.543]
D: P      [yr]          7851.295  [5184.016, 11745.731]
E: r_peri [AU]            12.934  [   7.963,   19.806]
E: r_apo  [AU]          1641.344  [ 926.505, 2918.268]
E: v_peri [km/s]        3686.447  [2980.217, 4696.207]
E: v_apo  [km/s]          29.551  [  19.786,   41.087]
E: P      [yr]            75.319  [  31.958,  178.153]
F: r_peri [AU]          7470.815  [7374.939, 7571.003]
F: r_apo  [AU]        1172987.527  [871091.368, 1384234.025]
F: v_peri [km/s]         153.444  [ 152.425,  154.467]
F: v_apo  [km/s]           0.977  [   0.827,    1.313]
F: P      [yr]        1435169.886  [921403.768, 1837014.512]
r_tidal MS  [AU]           0.216  [   0.216,    0.216]
r_tidal RG  [AU]           6.973  [   6.968,    6.975]
r_Schw      [AU]           0.002  [   0.002,    0.002]
