Posterior summaries (median, 68% CI)
Chain: C:\Users\macke\Clusters\Ocen_IMBH_analysis\mock_cluster\results\NoAcc_16r_192c\chain.fits
Epoch: 55197.0 MJD
Stars: A, C, D, E, F

Param                     Median  [     16%,      84%]
M_IMBH [10⁴ M☉]            9.989  [   9.971,    9.997]
plx [mas]                  0.240  [   0.237,    0.244]
offsetx [mas]           -485.414  [-512.393, -396.953]
offsety [mas]            470.919  [ 449.945,  502.583]
A: a [AU]               3379.352  [2452.593, 4141.178]
A: e                       0.346  [   0.042,    0.961]
A: i [°]                  99.908  [  95.439,  130.207]
A: ω [°]                 -21.504  [-128.231,   11.335]
A: Ω [°]                 -72.472  [ -84.204,  -69.234]
C: a [AU]               7359.354  [6248.658, 9446.871]
C: e                       0.511  [   0.416,    0.653]
C: i [°]                  62.750  [  61.940,   63.771]
C: ω [°]                 140.349  [-155.963,  149.595]
C: Ω [°]                 -17.749  [ -22.715,   -3.434]
D: a [AU]             250046.083  [138006.163, 342584.476]
D: e                       0.982  [   0.969,    0.987]
D: i [°]                  82.390  [  80.573,   83.237]
D: ω [°]                -131.625  [-136.800, -126.014]
D: Ω [°]                 -46.801  [ -48.425,  -41.786]
E: a [AU]               8592.091  [4503.170, 16703.320]
E: e                       0.895  [   0.816,    0.945]
E: i [°]                  92.086  [  87.420,   93.643]
E: ω [°]                -148.033  [-155.483, -139.899]
E: Ω [°]                 -30.600  [ -38.986,   -6.952]
F: a [AU]             512656.523  [263733.916, 586326.512]
F: e                       0.988  [   0.976,    0.989]
F: i [°]                  72.799  [  72.173,   73.411]
F: ω [°]                 171.541  [ 169.195,  173.713]
F: Ω [°]                 157.299  [ 153.703,  158.732]
A: r_peri [AU]          2658.492  [ 103.711, 3831.881]
A: r_apo  [AU]          3996.834  [3731.614, 6523.425]
A: v_peri [km/s]         199.181  [ 156.272, 1294.087]
A: v_apo  [km/s]         121.335  [  24.461,  147.955]
A: P      [yr]           621.636  [ 384.402,  843.592]
C: r_peri [AU]          3588.344  [3319.861, 3842.707]
C: r_apo  [AU]         11117.368  [8831.003, 15624.373]
C: v_peri [km/s]         193.500  [ 183.683,  206.170]
C: v_apo  [km/s]          62.482  [  44.327,   76.640]
C: P      [yr]          1998.049  [1563.180, 2905.637]
D: r_peri [AU]          4263.896  [3842.077, 4605.143]
D: r_apo  [AU]        495623.985  [271882.291, 680507.226]
D: v_peri [km/s]         202.830  [ 195.091,  213.782]
D: v_apo  [km/s]           1.785  [   1.302,    3.150]
D: P      [yr]        395723.232  [162249.595, 634344.532]
E: r_peri [AU]           890.911  [ 791.760,  967.973]
E: r_apo  [AU]         16285.887  [8172.730, 32464.138]
E: v_peri [km/s]         432.016  [ 416.690,  457.413]
E: v_apo  [km/s]          23.875  [  12.361,   44.599]
E: P      [yr]          2520.231  [ 956.287, 6830.695]
F: r_peri [AU]          6375.843  [6258.355, 6491.443]
F: r_apo  [AU]        1018965.979  [521031.390, 1166283.648]
F: v_peri [km/s]         166.077  [ 164.457,  167.713]
F: v_apo  [km/s]           1.036  [   0.909,    2.035]
F: P      [yr]        1161683.391  [428637.704, 1420750.983]
r_tidal MS  [AU]           0.216  [   0.216,    0.216]
r_tidal RG  [AU]           6.973  [   6.969,    6.975]
r_Schw      [AU]           0.002  [   0.002,    0.002]
